Emergency 999 DBMS - Seeded User Accounts
===========================================
All accounts use password: password

Name                           | Email                               | Role         | Password  
-----------------------------------------------------------------------------------------------
System Admin                   | admin@999.local                     | admin        | password  
Sample Citizen                 | user@999.local                      | user         | password  
Lt. Farhan Rahman              | responder@999.local                 | responder    | password  
Sgt. Razia Sultana             | razia@999.local                     | responder    | password  
Cpl. Nusrat Jahan              | nusrat@999.local                    | responder    | password  
FF. Jabir Hossain              | jabir@999.local                     | responder    | password  
Dr. Kamal Hossain              | kamal@999.local                     | responder    | password  
Paramedic Shamim Akter         | shamim@999.local                    | responder    | password  
SI Rafiq Islam                 | rafiq@999.local                     | responder    | password  
ASI Tarek Mahmud               | tarek@999.local                     | responder    | password  
Lt. Jamal Uddin                | jamal@999.local                     | responder    | password  
Cpl. Anwar Haque               | anwar@999.local                     | responder    | password  
SI Fatema Khatun               | fatema@999.local                    | responder    | password  
Lt. Hasanul Bari               | hasan@999.local                     | responder    | password  
Paramedic Nasrin Akter         | nasrin@999.local                    | responder    | password  
Ayesha Begum                   | ayesha@999.local                    | user         | password  
Rahim Mia                      | rahim@999.local                     | user         | password  
Mizanur Rahman                 | mizan@999.local                     | user         | password  
FF. Sajjad Hossein             | sajjad@999.local                    | responder    | password  
FF. Arifur Rahman              | arif@999.local                      | responder    | password  
Paramedic Tanveer Alam         | tanveer@999.local                   | responder    | password  
Paramedic Sadia Islam          | sadia@999.local                     | responder    | password  
Dr. Fahmida Yesmin             | fahmida@999.local                   | responder    | password  
Dr. Mahbubur Rahman            | mahbub@999.local                    | responder    | password  
Sgt. Imran Khan                | imran@999.local                     | responder    | password  
ASI Shamima Yasmin             | shamimay@999.local                  | responder    | password  
SI Tariqul Islam               | tariqul@999.local                   | responder    | password  
ASI Rashedul Bari              | rashed@999.local                    | responder    | password  
FF. Selim Rezwan               | selim@999.local                     | responder    | password  
FF. Mainul Islam               | mainul@999.local                    | responder    | password  
FF. Riaz Uddin                 | riaz@999.local                      | responder    | password  
FF. Tariq Anam                 | tariqa@999.local                    | responder    | password  
FF. Shakil Ahmed               | shakil@999.local                    | responder    | password  
Lt. Nazmul Huda                | nazmul@999.local                    | responder    | password  
Sgt. Mizanur Rahman            | mizanr@999.local                    | responder    | password  
FF. Kabir Hossain              | kabir@999.local                     | responder    | password  
FF. Shafiul Alam               | shafiul@999.local                   | responder    | password  
FF. Rubel Mia                  | rubel@999.local                     | responder    | password  
FF. Masud Rana                 | masud@999.local                     | responder    | password  
Sgt. Biplob Kumar              | biplob@999.local                    | responder    | password  
FF. Anisur Rahman              | anis@999.local                      | responder    | password  
FF. Zahirul Islam              | zahir@999.local                     | responder    | password  
FF. Didarul Alam               | didar@999.local                     | responder    | password  
FF. Saiful Islam               | saiful@999.local                    | responder    | password  
Dr. Nazma Begum                | nazma@999.local                     | responder    | password  
Paramedic Liton Mia            | liton@999.local                     | responder    | password  
Dr. Rubaiya Tasnim             | rubaiya@999.local                   | responder    | password  
